Date	0	1	2	3	4	5	6	7	8	9	10	11
Dec 31 1951	11.538461538461538	15.384615384615385	7.6923076923076925	7.6923076923076925	0	11.538461538461538	3.8461538461538463	15.384615384615385	7.6923076923076925	3.8461538461538463	11.538461538461538	1
Dec 31 1953	14.814814814814813	11.11111111111111	18.51851851851852	7.4074074074074066	11.11111111111111	3.7037037037037033	0	11.11111111111111	14.814814814814813	0	7.4074074074074066	0
Dec 31 1955	12.5	8.333333333333332	12.5	8.333333333333332	0	0	0	16.666666666666664	4.166666666666666	25	8.333333333333332	1
Dec 31 1957	11.494252873563218	5.747126436781609	10.344827586206897	8.045977011494253	6.896551724137931	4.597701149425287	3.4482758620689653	9.195402298850574	11.494252873563218	11.494252873563218	13.793103448275861	3
Dec 31 1959	12.643678160919542	9.195402298850574	4.597701149425287	12.643678160919542	8.045977011494253	6.896551724137931	5.747126436781609	12.643678160919542	4.597701149425287	8.045977011494253	12.643678160919542	2
Dec 31 1961	10.465116279069768	6.976744186046512	17.441860465116278	3.488372093023256	5.813953488372093	8.13953488372093	2.3255813953488373	12.790697674418606	9.30232558139535	11.627906976744185	8.13953488372093	3
Dec 31 1963	12.087912087912088	7.6923076923076925	6.593406593406594	8.791208791208792	9.89010989010989	9.89010989010989	3.296703296703297	12.087912087912088	7.6923076923076925	10.989010989010989	6.593406593406594	4
Dec 31 1965	13.636363636363635	7.954545454545454	11.363636363636363	1.1363636363636365	10.227272727272728	9.090909090909092	7.954545454545454	10.227272727272728	2.272727272727273	14.772727272727273	6.8181818181818175	4
Dec 31 1967	13.636363636363635	3.4090909090909087	13.636363636363635	2.272727272727273	9.090909090909092	7.954545454545454	5.681818181818182	15.909090909090908	3.4090909090909087	12.5	10.227272727272728	2
Dec 31 1969	11.827956989247312	5.376344086021505	12.903225806451612	2.1505376344086025	6.451612903225806	10.75268817204301	3.225806451612903	11.827956989247312	5.376344086021505	18.27956989247312	6.451612903225806	5
Dec 31 1971	13.253012048192772	7.228915662650602	18.072289156626507	4.819277108433735	7.228915662650602	3.614457831325301	6.024096385542169	12.048192771084338	3.614457831325301	7.228915662650602	6.024096385542169	9
Dec 31 1973	13.48314606741573	10.112359550561797	12.359550561797752	3.3707865168539324	8.98876404494382	10.112359550561797	4.49438202247191	12.359550561797752	3.3707865168539324	10.112359550561797	4.49438202247191	6
Dec 31 1975	18.823529411764707	4.705882352941177	9.411764705882353	0	9.411764705882353	9.411764705882353	1.1764705882352942	12.941176470588237	3.5294117647058822	15.294117647058824	11.76470588235294	3
Dec 31 1977	22.340425531914892	4.25531914893617	9.574468085106384	5.319148936170213	6.382978723404255	9.574468085106384	4.25531914893617	7.446808510638298	4.25531914893617	13.829787234042554	8.51063829787234	4
Dec 31 1979	11.235955056179774	10.112359550561797	15.730337078651685	2.247191011235955	7.865168539325842	13.48314606741573	5.617977528089887	8.98876404494382	6.741573033707865	8.98876404494382	4.49438202247191	4
Dec 31 1981	17.857142857142858	3.571428571428571	14.285714285714285	4.761904761904762	3.571428571428571	8.333333333333332	4.761904761904762	4.761904761904762	3.571428571428571	17.857142857142858	9.523809523809524	6
Dec 31 1983	20	7.777777777777778	7.777777777777778	4.444444444444445	4.444444444444445	6.666666666666667	5.555555555555555	11.11111111111111	4.444444444444445	14.444444444444443	4.444444444444445	8
Dec 31 1985	12.087912087912088	7.6923076923076925	12.087912087912088	4.395604395604396	8.791208791208792	8.791208791208792	5.4945054945054945	13.186813186813188	5.4945054945054945	10.989010989010989	5.4945054945054945	5
Dec 31 1987	11.11111111111111	11.11111111111111	7.777777777777778	0	11.11111111111111	7.777777777777778	4.444444444444445	13.333333333333334	7.777777777777778	10	8.88888888888889	6
Dec 31 1989	6.097560975609756	8.536585365853659	14.634146341463413	2.4390243902439024	9.75609756097561	4.878048780487805	10.975609756097562	15.853658536585366	4.878048780487805	10.975609756097562	4.878048780487805	5
Dec 31 1991	5.681818181818182	21.59090909090909	9.090909090909092	3.4090909090909087	9.090909090909092	6.8181818181818175	11.363636363636363	7.954545454545454	5.681818181818182	9.090909090909092	5.681818181818182	4
Dec 31 1993	5.4945054945054945	12.087912087912088	13.186813186813188	2.197802197802198	6.593406593406594	10.989010989010989	4.395604395604396	13.186813186813188	7.6923076923076925	5.4945054945054945	8.791208791208792	9
Dec 31 1995	12.790697674418606	8.13953488372093	2.3255813953488373	1.1627906976744187	5.813953488372093	10.465116279069768	10.465116279069768	13.953488372093023	10.465116279069768	6.976744186046512	8.13953488372093	8
Dec 31 1997	7.228915662650602	14.457831325301203	6.024096385542169	3.614457831325301	3.614457831325301	10.843373493975903	6.024096385542169	10.843373493975903	7.228915662650602	9.63855421686747	8.433734939759036	10
Dec 31 1999	9.45945945945946	17.56756756756757	6.756756756756757	8.108108108108109	2.7027027027027026	2.7027027027027026	5.405405405405405	14.864864864864865	5.405405405405405	9.45945945945946	8.108108108108109	7
Dec 31 2001	8.333333333333332	15.277777777777779	11.11111111111111	5.555555555555555	6.944444444444445	6.944444444444445	6.944444444444445	16.666666666666664	5.555555555555555	8.333333333333332	2.7777777777777777	4
Dec 31 2003	3.278688524590164	11.475409836065573	9.836065573770492	3.278688524590164	13.114754098360656	22.950819672131146	8.19672131147541	8.19672131147541	6.557377049180328	1.639344262295082	8.19672131147541	2
Dec 31 2005	8.333333333333332	20.833333333333336	6.944444444444445	0	5.555555555555555	8.333333333333332	6.944444444444445	12.5	4.166666666666666	12.5	5.555555555555555	6
Dec 31 2007	18.75	12.5	9.375	3.125	3.125	6.25	9.375	15.625	4.6875	9.375	6.25	1
Dec 31 2009	11.538461538461538	14.102564102564102	1.282051282051282	3.8461538461538463	6.41025641025641	11.538461538461538	10.256410256410255	7.6923076923076925	8.974358974358974	10.256410256410255	3.8461538461538463	8
Dec 31 2011	4.3478260869565215	8.695652173913043	13.043478260869565	7.246376811594203	11.594202898550725	10.144927536231885	7.246376811594203	8.695652173913043	5.797101449275362	10.144927536231885	1.4492753623188406	8
